Company,Company Name for Emails,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Research Target Company,Qualify Account,Prerequisite: Determine Research Guidelines
"Wilco-Winfield, LLC",Wilco-Winfield,2000,retail,tbeal@natoli.com,http://www.wilco.coop,http://www.linkedin.com/company/wilco,https://www.facebook.com/wilcostores,https://twitter.com/WilcoStores,200 Industrial Way NE,Saint Benedict,Oregon,United States,97362-9576,"200 Industrial Way NE, Saint Benedict, Oregon, United States, 97362-9576","landscape, fencing, pet enthusiasts, professional farmers, professional ranchers, diy projects, retail, agriculture, paint, farm, ranch, agribusiness, community focus, grower portal, b2b, patronage dividends, crop protection, member-owned, sustainability, employee benefits, lawn and garden, fuel delivery, farm store retail, agricultural community, energy, retail store, fertilizer, member benefits, services, crop inputs, b2c, agricultural products, agronomy consulting, rural lifestyle, pet grooming, member loyalty, diesel exhaust fluid, online shopping, agronomy, energy fuels, farmer-owned cooperative, agriculture supplies, retail farm stores, board of directors, ag center, community support, e-commerce, agribusiness services, fuel services, work wear, valley agronomics joint venture, farm supplies merchant wholesalers, cooperative, fuel tankers, d2c, fertilizers, hardware, pet supplies, fuel, community, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services, communities",'+1 800-382-5339,"Outlook, Amazon AWS, Route 53, Oracle Cloud, Monday, The Trade Desk, Barracuda Networks, Taleo, Google Tag Manager, DocuSign, reCAPTCHA, WordPress.org, Gravity Forms, Vimeo, Nginx, Mobile Friendly, Remote",,,,,220000000,,69726e748e65570001f3cb08,5191,42491,"Wilco is the largest agricultural supply cooperative in the Pacific Northwest, based in Mount Angel, Oregon. Established in 1967, it serves over 3,000 grower-members and more than 100,000 customers. The cooperative employs around 991 people and generates annual revenue of $373 million.

Wilco operates four main divisions: agriculture supply, petroleum, hazelnut division, and retail farm stores. It runs 25 locations, including 17 farm stores that offer a variety of products such as fencing, feed, pet supplies, work clothing, outdoor gear, and True Value branded hardware. The company also provides full-service agronomy centers with consulting services, crop protection, and crop nutrients. Additionally, Wilco offers petroleum services, including gas and diesel delivery, propane service, and home heating fuel. The cooperative is committed to core values like Quality, Respect, Accountability, Teamwork, Community, and Integrity.",1967,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696caa7750c5f30001bc85b4/picture,,,,,,,,
Gencor Nutrients,Gencor Nutrients,18,"health, wellness & fitness",tbeal@natoli.com,http://www.saanroo.com,http://www.linkedin.com/company/saanroo,,https://twitter.com/gencorpacific,3300 Bee Caves Rd,West Lake Hills,Texas,United States,78746-6600,"3300 Bee Caves Rd, West Lake Hills, Texas, United States, 78746-6600","wellness & fitness services, health, wellness & fitness",'+1 949-502-5760,"Cloudflare DNS, Outlook, Microsoft Office 365, Amazon AWS, Webflow, YouTube, Google Font API, Hubspot, Mobile Friendly, Google Tag Manager, Linkedin Marketing Solutions, Google Analytics, Remote",,,,,4500000,,69726e748e65570001f3cb0c,,,"Saanroo is a nutraceutical ingredient supplier that focuses on clinically researched botanical and herbal ingredients aimed at enhancing health and wellness throughout various life stages. Established in 2025 as a division of Gencor, Saanroo combines 6,000 years of Ayurvedic wisdom with modern scientific research to provide natural and clinically studied ingredients. The name ""Saanroo"" reflects the company's commitment to evidence-based solutions.

The company offers a diverse portfolio of branded ingredients and standardized single-herb extracts, including notable products like Levagen+, HydroCurc, and BioBerb. Saanroo's product categories encompass sports nutrition, metabolic and weight management, immune health, male and female health, longevity, and advanced delivery systems. Their ingredients are backed by rigorous scientific analysis and quality assurance processes, ensuring they meet high standards for safety and efficacy.

Saanroo serves a variety of customers, including nutraceutical companies, cosmeceutical manufacturers, healthcare practitioners, and functional food producers. With over 20 years of experience in North America, the company has received multiple awards for its innovative ingredients and research.",2001,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6968ca3f6c8e9600015f72ed/picture,,,,,,,,
The Compounding Shop,The Compounding Shop,,,tbeal@natoli.com,http://www.thecompoundingshop.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2953,,,,,,,,,,,,,
Element Compounding,Element Compounding,,,tbeal@natoli.com,http://www.elementcompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2955,,,,,,,,,,,,,
Evercare Pharmacy,Evercare Pharmacy,,,tbeal@natoli.com,http://www.evercarepharmacy.com,,,,,,,,,,,,,,,,,,,697274140674f100016f295b,,,,,,,,,,,,,
Wellness Compounding,Wellness Compounding,,,tbeal@natoli.com,http://www.wellnesscompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f295d,,,,,,,,,,,,,
Precision Wellness Pharmacy,Precision Wellness Pharmacy,,,tbeal@natoli.com,http://www.precisionwellnesspharmacy.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2960,,,,,,,,,,,,,
LifeBalance Compounding,LifeBalance Compounding,,,tbeal@natoli.com,http://www.lifebalancecompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f296a,,,,,,,,,,,,,
LifeSource Compounding,LifeSource Compounding,,,tbeal@natoli.com,http://www.lifesourcecompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f296c,,,,,,,,,,,,,
LifeWell RX,LifeWell RX,,,tbeal@natoli.com,http://www.lifewellrx.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2971,,,,,,,,,,,,,
"Applied Ceramics, Inc.",Applied Ceramics,75,environmental services,tbeal@natoli.com,http://www.appliedceramics.com,http://www.linkedin.com/company/applied-ceramics-inc-,,,5555 Pleasantdale Road,Atlanta,Georgia,United States,30340,"5555 Pleasantdale Road, Atlanta, Georgia, United States, 30340","kiln furniture, ceramic honeycomb, refractories, rto catalyst, permark roadmarkers, industrial filtration, medical ceramics, contract manufacturing, ceramic honeycomb filters, molten metal filters, ceramic flow control devices, private label manufacturing, ceramic honeycomb for gas flow control, energy-efficient ceramics, consulting, ceramic supports for high-temp processes, aerospace & defense, ceramic manufacturing, product customization, medical, material development, r&d collaboration, aerospace ceramics, automotive, b2b, hearth products, custom ceramic solutions, ceramic parts for medical sterilization, ceramic filters for investment casting, energy, all other miscellaneous manufacturing, high-temperature furnace bricks, product development, ceramic shapes for hearth products, quality management, technical support, ceramic engineering, process optimization, ceramic canning for catalytic converters, energy efficiency, ceramic tooling for electronics, ceramic components for aerospace, environmental & power generation, automotive ceramics, ceramic catalyst substrates, environmental technology, services, semiconductors & electronics, ceramic process innovation, healthcare, aerospace, manufacturing, mechanical or industrial engineering, environmental services, renewables & environment, health care, health, wellness & fitness, hospital & health care",'+1 770-448-6888,"Outlook, Media Temple, YouTube, Nginx, Linkedin Login, Facebook Widget, WordPress.org, Wufoo, Linkedin Widget, Vimeo, Google Font API, Facebook Login (Connect), Hubspot, Mobile Friendly, Google Tag Manager, Google Dynamic Remarketing, DoubleClick, Adobe Media Optimizer, reCAPTCHA, DoubleClick Conversion, Gravity Forms, Google Maps, Google Maps (Non Paid Users), Cedexis Radar, Linkedin Marketing Solutions, Remote, Circle",,,,,19000000,,68f65d58d5703400017b8c4c,3295,33999,"Applied Ceramics, Inc. is a world-class technology and manufacturing company that creates value for our customers. By focusing on our customer's goals, we create value through our ceramic, refractory, catalyst, tooling, sourcing, manufacturing and research and development expertise. 

The company transformed from a kiln furniture supplier to a global enterprise with product lines stretching across various industries with multiple 
ventures. This diversity allows Applied Ceramics to service our existing businesses with excellence, while still investing heavily in our Research and 
Development group to work on the problems of tomorrow.

We offer solutions. Service is our specialty. Through our 42 years of operation, we have learned that nothing is impossible and that there is always a path to success. Our strategy for success is to align ourselves with our customers and their goals so that if they succeed, we will succeed. So it is with this strategy that we are willing to try to do the impossible. And because of this creativity and ability to stretch our thinking, we are able to solve tomorrow's problems, today.",1967,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6716e43cb77ee2000143cd9c/picture,,,,,,,,
"Farasis Energy, Inc.",Farasis Energy,220,electrical/electronic manufacturing,tbeal@natoli.com,http://www.farasis-energy.com,http://www.linkedin.com/company/farasis,https://facebook.com/FarasisEnergy/,https://twitter.com/farasis,Jin Ling Xi Da Dao,Gan Zhou Shi,Jiang Xi Sheng,China,341003,"Jin Ling Xi Da Dao, Gan Zhou Shi, Jiang Xi Sheng, China, 341003","liion batteries, grid storage, ev, phev, battery modules, mhev, nmc, lfp, hv, appliances, electrical, & electronics manufacturing, environmental responsibility, fast charging technology, automotive battery pack design, automotive industry batteries, semi-solid electrolyte batteries, electric mobility, battery system integration, battery thermal runaway prevention, high energy density, large-scale production, energy storage systems, battery pack design, automotive oem supply, battery technology development, automotive battery certification, battery material sourcing, sustainable energy, battery innovation, battery environmental impact, solid-state battery research, battery r&d, battery innovation in aerospace, high-performance energy storage, ultra-fast charging batteries, automotive energy solutions, fast charging, high-power batteries, battery sustainability, automotive battery lifecycle management, battery supply partnerships, automotive safety standards, battery innovation partnerships, battery market expansion, battery cell design, energy management, battery manufacturing automation, automotive battery integration, transportation & logistics, battery patents, battery technology collaborations, mass production, battery cell chemistry, pouch cells, battery performance testing, battery design, energy density optimization, battery lifecycle management, electric vehicle batteries, battery lifecycle extension, battery cell miniaturization, battery safety certification, performance, battery module assembly, electric powertrains, battery safety, battery manufacturing, energy density, energy storage solutions, battery partnerships, automotive oems, b2b, battery lifecycle, energy grid storage, long-life battery cells, high-capacity energy storage, battery safety technology, automotive electrification, electric vehicles, energy transition, energy transition support, services, battery research, battery performance optimization, manufacturing, performance lithium-ion cells, industrial batteries, lithium-ion pouch batteries, energy storage, battery safety standards, battery capacity scaling, long cycle life, automotive battery modules, advanced electrolyte development, high-performance batteries, battery capacity expansion, battery safety containment, battery system engineering, battery capacity, electric mobility infrastructure, advanced battery solutions, battery recycling initiatives, sustainability, battery manufacturing plants, automotive batteries, safety and stability, battery pack integration, automotive battery safety systems, battery supply chain resilience, battery testing, next-generation battery technology, performance batteries, sustainable battery materials, battery performance analytics, battery supply chain, battery thermal management, sodium-ion batteries, safety standards, lithium-ion batteries, battery industry trends, energy & utilities, evtol battery systems, battery technology, battery safety testing protocols, battery safety regulation compliance, battery recycling, sustainable energy solutions, battery management system, electric motorcycle batteries, industrial machinery batteries, commercial vehicle batteries, closed-loop value chain, tailor-made battery solutions, long life cycles, high power output, battery performance, electric aviation, electric bus batteries, thermal propagation technology, high-energy batteries, overhead costs reduction, environmental sustainability, electric two-wheelers, batteries for all-terrain vehicles, life cycle analysis, power density, electric propulsion systems, sustainable production, modular battery systems, advanced charging strategy, innovation in battery technology, battery cell production, green manufacturing practices, global battery supply, e-mobility solutions, real-time battery monitoring, automotive power systems, scalable battery solutions, renewable energy storage, high-cycle resistance, distribution, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, clean energy & technology, environmental services, renewables & environment",'+1 510-732-6600,"Outlook, Shutterstock, Mobile Friendly, WordPress.org, Google Tag Manager, Apache, Nginx",790000000,Venture (Round not Specified),0,7/1/2020,1609000000,,690a757a6f52f70001ca2b64,3691,33591,"Farasis Energy is a leader in developing and manufacturing high-performance lithium-ion battery technology, particularly pouch cells, for various applications including electric vehicles (EVs), energy storage, and eVTOL aircraft. Founded in 2002 in Silicon Valley, the company shifted its operations to Ganzhou, China, in 2009 and has since expanded globally with R&D centers in China, Germany, and the United States, as well as production facilities in China and Turkey.

The company specializes in EV batteries and has been a key player in the market since 2016, with significant partnerships in the automotive sector, including collaborations with Mercedes-Benz and Geely. Farasis also produces battery systems for electric powersports and has recently launched sodium-ion batteries for EVs. With a strong focus on sustainability, Farasis emphasizes recycling initiatives and aims to scale its production capacity significantly by 2025. The company ranks among the top global EV battery installers and continues to innovate in the battery technology space.",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/697120c76a6b86000184c3d4/picture,,,,,,,,
