Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
HyperSolar Inc.,Santa Barbara,CA,,https://hypersolar.com,https://linkedin.com/company/hypersolar,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,80,Researches renewable hydrogen production and storage.,,,,,
ITM Power Inc.,Los Angeles,CA,-1984,https://itm-power.com,https://linkedin.com/company/itm-power,Both,West Coast,Fernando Delgado,hydrogen storage materials,100,Produces integrated hydrogen energy solutions needing both engineering and scientific services.,,,,,
"SunHydrogen, Inc.",Santa Barbara,CA,,https://sunhydrogen.com,https://linkedin.com/company/sunhydrogen,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,80,Innovates in hydrogen production and storage technologies.,,,,,
Occidental Petroleum,Houston,TX,-7927,https://oxy.com,https://linkedin.com/company/occidental,Both,Central,David Nelson,carbon capture sorbent manufacturing,100,Invests in carbon capture projects needing comprehensive engineering and scientific solutions,,,,,
NET Power,Durham,NC,-3385,https://netpower.com,https://linkedin.com/company/netpower,Both,Southeast,Danny Ambrose,carbon capture sorbent manufacturing,100,"Develops carbon capture technology for power plants, requiring engineering and scientific expertise",,,,,
Mitsubishi Heavy Industries America,Houston,TX,-1268,https://mhi.com,https://linkedin.com/company/mitsubishi-heavy-industries-america-inc,Both,Central,David Nelson,carbon capture sorbent manufacturing,100,"Develops carbon capture systems, needing both engineering and scientific solutions",,,,,
Honeywell UOP,Des Plaines,IL,-3237,https://uop.com,https://linkedin.com/company/honeywell-uop,Both,Central,David Nelson,carbon capture sorbent manufacturing,100,"Provides technologies for carbon capture, requiring comprehensive solutions",,,,,
CeramTec,Laurens,SC,-4760,https://ceramtec.com,https://linkedin.com/company/ceramtec,Engineering,Southeast,Danny Ambrose,advanced ceramics manufacturing,90,Produces ceramic components that may require tablet presses,,,,,Yes
Corning Inc.,Corning,NY,-10580,https://corning.com,https://linkedin.com/company/corning,Both,Northeast,Raffaele Romano,advanced ceramics manufacturing,100,Leader in materials science with potential needs in formulation and tooling,,,,,Yes
3M Ceramics,St. Paul,MN,-4828,https://3m.com,https://linkedin.com/company/3m,Both,Central,David Nelson,advanced ceramics manufacturing,100,"Manufactures ceramics and advanced materials, might need Natoli's products",,,,,Yes
Advanced Ceramic Manufacturer,Cincinnati,OH,-8786,https://advancedceramics.com,https://linkedin.com/company/advanced-ceramics-manufacturer,Engineering,Central,David Nelson,advanced ceramics manufacturing,90,"Specializes in ceramic production, likely needs precision tooling",,,,,Yes
Rauschert Technical Ceramics,Dublin,VA,-3153,https://rauschert.com,https://linkedin.com/company/rauschert-technical-ceramics,Engineering,Northeast,Raffaele Romano,advanced ceramics manufacturing,90,"Manufactures ceramic components, potential need for Natoli's tooling",,,,,Yes
NGK Ceramics USA,Mooresville,NC,-8367,https://ngkceramics.com,https://linkedin.com/company/ngk-ceramics-usa,Engineering,Southeast,Danny Ambrose,advanced ceramics manufacturing,90,"Produces advanced ceramics for industrial use, might require presses",,,,,Yes
Unifrax,Tonawanda,NY,-7983,https://unifrax.com,https://linkedin.com/company/unifrax,Engineering,Northeast,Raffaele Romano,advanced ceramics manufacturing,90,"Manufactures high-performance materials, may need tooling solutions",,,,,Yes
Schunk Carbon Technology,Menomonee Falls,WI,-6036,https://schunk-group.com,https://linkedin.com/company/schunk-group,Engineering,Central,David Nelson,advanced ceramics manufacturing,90,"Specializes in carbon and ceramic solutions, might need presses",,,,,Yes
Carborundum Universal Ltd.,Fair Lawn,NJ,-2994,https://cumi-murugappa.com,https://linkedin.com/company/carborundum-universal-limited,Engineering,Northeast,Raffaele Romano,advanced ceramics manufacturing,90,"Produces ceramic materials, potential need for precision tooling",,,,,Yes
Ortech Advanced Ceramics,Sacramento,CA,-2839,https://ortechceramics.com,https://linkedin.com/company/ortech-advanced-ceramics,Engineering,West Coast,Fernando Delgado,advanced ceramics manufacturing,90,"Specializes in advanced ceramic manufacturing, potentially needing tooling",,,,,Yes
"CerCo, LLC",Shreve,OH,-3041,https://cerco.com,https://linkedin.com/company/cerco-llc,Engineering,Central,David Nelson,advanced ceramics manufacturing,90,"Manufactures advanced ceramics, potential need for tooling solutions",,,,,Yes
"ASML US, Inc.",Chandler,AZ,-4862,https://www.asml.com,https://linkedin.com/company/asml,Scientific,Rocky Mountain,Eric Maughan,semiconductor materials,90,Provides advanced semiconductor manufacturing equipment.,,,,,
GlobalFoundries U.S. Inc.,Malta,NY,-9835,https://www.globalfoundries.com,https://linkedin.com/company/globalfoundries,Engineering,Northeast,Raffaele Romano,semiconductor materials,90,Operates as a semiconductor foundry.,,,,,
"NXP Semiconductors USA, Inc.",Austin,TX,-9221,https://www.nxp.com,https://linkedin.com/company/nxp-semiconductors,Engineering,Central,David Nelson,semiconductor materials,90,"Provides semiconductor solutions for automotive, industrial, and IoT applications.",,,,,
Microchip Technology Incorporated,Chandler,AZ,-8471,https://www.microchip.com,https://linkedin.com/company/microchip-technology,Engineering,Rocky Mountain,Eric Maughan,semiconductor materials,90,Provides microcontroller and analog semiconductors.,,,,,
"AMD (Advanced Micro Devices, Inc.)",Santa Clara,CA,-5156,https://www.amd.com,https://linkedin.com/company/amd,Engineering,West Coast,Fernando Delgado,semiconductor materials,90,Develops computer processors and related technologies.,,,,,
"Broadcom, Inc.",San Jose,CA,-8840,https://www.broadcom.com,https://linkedin.com/company/broadcom,Engineering,West Coast,Fernando Delgado,semiconductor materials,90,Develops and supplies semiconductor and infrastructure software solutions.,,,,,
L'Oréal USA,New York,NY,-2529,https://www.loreal.com,https://linkedin.com/company/loreal,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Produces a wide range of pressed powder cosmetics,,,,,Yes
"Elizabeth Arden, Inc.",Miramar,FL,-8462,https://www.elizabetharden.com,https://linkedin.com/company/elizabeth-arden,Both,Southeast,Danny Ambrose,cosmetics pressed powder,100,Manufactures a variety of pressed powder products,,,,,Yes
"Glossier, Inc.",New York,NY,-3962,https://www.glossier.com,https://linkedin.com/company/glossier-inc,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Produces various pressed powder products,,,,,Yes
Morphe Brushes,Los Angeles,CA,-8985,https://www.morphe.com,https://linkedin.com/company/morphe,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Manufactures pressed powder makeup,,,,,Yes
Agrium Inc.,Loveland,CO,-4954,https://nutrien.com,https://linkedin.com/company/nutrien,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,Produces agricultural products including fertilizer tablets,,,,,
CF Industries,Deerfield,IL,-3651,https://cfindustries.com,https://linkedin.com/company/cf-industries,Both,Central,David Nelson,agricultural fertilizer tablets,100,Produces fertilizers that can be compressed into tablets,,,,,
Yara North America,Tampa,FL,-6734,https://yara.us,https://linkedin.com/company/yara,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,Manufactures crop nutrition products including tablet forms,,,,,
J.R. Simplot Company,Boise,ID,-2653,https://simplot.com,https://linkedin.com/company/j-r-simplot-company,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,Large agricultural supplier with capabilities for tablet production,,,,,
Wilbur-Ellis Company,San Francisco,CA,-5186,https://wilburellis.com,https://linkedin.com/company/wilbur-ellis,Both,West Coast,Fernando Delgado,agricultural fertilizer tablets,100,Distributes and manufactures agricultural products including tablets,,,,,
"Brandt Consolidated, Inc.",Springfield,IL,-6563,https://brandt.co,https://linkedin.com/company/brandt-co,Both,Central,David Nelson,agricultural fertilizer tablets,100,Develops and produces specialty fertilizers in tablet form,,,,,
Koch Agronomic Services,Wichita,KS,-6643,https://kochagronomicservices.com,https://linkedin.com/company/koch-agronomic-services,Both,Central,David Nelson,agricultural fertilizer tablets,100,Manufactures enhanced-efficiency fertilizers potentially in tablets,,,,,
"GROWMARK, Inc.",Bloomington,IL,-6865,https://growmark.com,https://linkedin.com/company/growmark,Both,Central,David Nelson,agricultural fertilizer tablets,100,Supplies agricultural inputs including compressed fertilizer products,,,,,
CHS Inc.,Inver Grove Heights,MN,-7005,https://chsinc.com,https://linkedin.com/company/chsinc,Both,Central,David Nelson,agricultural fertilizer tablets,100,Provides agricultural products including tablets,,,,,
SQM North America,Atlanta,GA,-11085,https://sqm.com,https://linkedin.com/company/sqm-north-america,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,Specializes in plant nutrition products including tablets,,,,,
Nutrien Ag Solutions,Loveland,CO,-4954,https://nutrienagsolutions.com,https://linkedin.com/company/nutrien-ag-solutions,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,Provides a wide range of fertilizers including tablet forms,,,,,
PTI Engineered Plastics,Macomb,MI,-5948,https://teampti.com,https://linkedin.com/company/pti-engineered-plastics,Engineering,Central,David Nelson,powder flow testing laboratory,90,"Specializes in manufacturing solutions, including compression molding that relates to tablet pressing",,,,,
Harro Höfliger,Allendale,NJ,-8075,https://hoefliger.com,https://linkedin.com/company/harro-hoefliger,Engineering,Northeast,Raffaele Romano,powder flow testing laboratory,90,Manufactures processing and packaging equipment for pharmaceutical products,,,,,
Pharmatek Laboratories,San Diego,CA,-8045,https://pharmatek.com,https://linkedin.com/company/pharmatek-laboratories,Both,West Coast,Fernando Delgado,powder flow testing laboratory,100,Provides formulation development and manufacturing services,,,,,
Avid Bioservices,Tustin,CA,-7321,https://avidbio.com,https://linkedin.com/company/avid-bioservices,Both,West Coast,Fernando Delgado,clinical trial manufacturing,100,Offers comprehensive CDMO services including tablet production,,,,,
Cambrex High Point,High Point,NC,-6426,https://cambrex.com,https://linkedin.com/company/cambrex,Both,Southeast,Danny Ambrose,clinical trial manufacturing,100,Specializes in small molecule API development and solid dosage manufacturing,,,,,
Ajanta Pharma USA,Bridgewater,NJ,-10586,https://ajantapharmausa.com,https://linkedin.com/company/ajanta-pharma-usa-inc,Both,Northeast,Raffaele Romano,clinical trial manufacturing,100,Specializes in the manufacturing of solid oral dosage forms,,,,,
BioDuro-Sundia,San Diego,CA,-7986,https://bioduro-sundia.com,https://linkedin.com/company/bioduro-sundia,Both,West Coast,Fernando Delgado,clinical trial manufacturing,100,"Offers integrated drug discovery, development, and manufacturing services",,,,,
Pinnacle Biologics,Bannockburn,IL,-8829,https://pinnaclebiologics.com,https://linkedin.com/company/pinnacle-biologics,Both,Central,David Nelson,clinical trial manufacturing,100,Specializes in oncology and orphan drug biopharmaceutical manufacturing,,,,,
Zhou Nutrition,Salt Lake City,UT,-2371,https://zhounutrition.com,https://linkedin.com/company/zhou-nutrition,Both,Rocky Mountain,Eric Maughan,weight loss supplement tablets,100,Produces dietary supplements including weight loss products,,,,,Yes
Infinite Labs,Orlando,FL,-7731,https://infinitelabs.com,https://linkedin.com/company/infinite-labs,Both,Southeast,Danny Ambrose,weight loss supplement tablets,100,Produces sports nutrition products including weight loss supplements,,,,,Yes
BioCare,Boise,ID,-2343,https://www.biocare.co.uk,https://linkedin.com/company/biocare-ltd,Both,Rocky Mountain,Eric Maughan,probiotic tablet manufacturing,100,Produces a range of probiotic supplements,,,,,
Glanbia Nutritionals,Twin Falls,ID,-3318,https://www.glanbianutritionals.com,https://linkedin.com/company/glanbia-nutritionals,Both,Rocky Mountain,Eric Maughan,probiotic tablet manufacturing,100,Provides nutritional ingredient solutions including probiotics,,,,,
Gummi World,Chandler,AZ,-8562,https://www.gummiworld.com,https://linkedin.com/company/gummi-world,Both,Rocky Mountain,Eric Maughan,probiotic tablet manufacturing,100,"Offers custom gummy supplement manufacturing, including probiotics",,,,,
"Solgar, Inc.",Leonia,NJ,-3455,https://solgar.com,https://linkedin.com/company/solgar,Both,Northeast,Raffaele Romano,iron supplement tablets,100,"Manufacturer of dietary supplements, including iron tablets",,,,,Yes
Carlson Labs,Arlington Heights,IL,-6777,https://carlsonlabs.com,https://linkedin.com/company/carlson-labs,Both,Central,David Nelson,iron supplement tablets,100,"Produces a range of vitamins and supplements, including iron",,,,,Yes
Puritan's Pride,Ronkonkoma,NY,-2474,https://puritan.com,https://linkedin.com/company/puritan's-pride,Both,Northeast,Raffaele Romano,iron supplement tablets,100,Offers a variety of vitamins and nutritional supplements,,,,,Yes
"Bio-Lab, Inc.",Lawrenceville,GA,-2118,https://biolabinc.com,https://linkedin.com/company/bio-lab-inc,Engineering,Southeast,Danny Ambrose,pool chlorine tablet manufacturing,90,Manufactures pool chlorine tablets requiring tablet presses,,,,,
"HASA, Inc.",Saugus,CA,-6767,https://hasa.com,,Engineering,West Coast,Fernando Delgado,pool chlorine tablet manufacturing,85,Manufactures and supplies pool sanitization products,,,,,
Robelle Industries,Milford,MA,-4078,https://robelle.com,,Engineering,Northeast,Raffaele Romano,pool chlorine tablet manufacturing,85,"Specializes in pool and spa chemicals, including tablets",,,,,
"Solvay Chemicals, Inc.",Houston,TX,-7237,https://solvay.com,https://linkedin.com/company/solvay,Both,Central,David Nelson,pool chlorine tablet manufacturing,100,Produces a wide range of chemical products including tablets,,,,,
Aqua Chem,Memphis,TN,-3296,https://aquachem.com,https://linkedin.com/company/aqua-chem-inc,Engineering,Southeast,Danny Ambrose,pool chlorine tablet manufacturing,90,"Supplies water treatment products, including chlorine tablets",,,,,
Leslie's Pool Supplies,Phoenix,AZ,-4966,https://lesliespool.com,https://linkedin.com/company/leslie's-pool-supplies,Engineering,Rocky Mountain,Eric Maughan,pool chlorine tablet manufacturing,90,Retailer and distributor of pool chemicals including tablets,,,,,
Haviland Pool & Spa,Grand Rapids,MI,-7667,https://havilandpool.com,,Engineering,Central,David Nelson,pool chlorine tablet manufacturing,85,"Manufactures pool and spa care products, including tablets",,,,,
AllChem Industries,Gainesville,FL,-10425,https://allchem.com,https://linkedin.com/company/allchem-industries,Engineering,Southeast,Danny Ambrose,pool chlorine tablet manufacturing,90,Supplier of industrial and specialty chemicals including tablets,,,,,
"Hawkins, Inc.",Roseville,MN,-7852,https://hawkinsinc.com,https://linkedin.com/company/hawkins-inc,Engineering,Central,David Nelson,pool chlorine tablet manufacturing,90,Manufactures and distributes chemicals for various industries,,,,,
"ChemTreat, Inc.",Glen Allen,VA,-3738,https://chemtreat.com,https://linkedin.com/company/chemtreat,Both,Northeast,Raffaele Romano,pool chlorine tablet manufacturing,100,"Offers water treatment products, including tablet formulations",,,,,
The Pool & Spa Warehouse,Phoenix,AZ,-8097,https://poolspawarehouse.com,,Engineering,Rocky Mountain,Eric Maughan,pool chlorine tablet manufacturing,85,"Distributes pool and spa chemicals, including chlorine tablets",,,,,
"Kemira Chemicals, Inc.",Atlanta,GA,-8031,https://kemira.com,https://linkedin.com/company/kemira,Both,Southeast,Danny Ambrose,water treatment tablets,100,Manufactures chemicals for water treatment including tablets,,,,,
Nalco Water,Naperville,IL,-1934,https://nalco.com,https://linkedin.com/company/nalco-water,Both,Central,David Nelson,water treatment tablets,100,Specializes in water treatment solutions including tablets,,,,,
"Pentair, Inc.",Golden Valley,MN,-3037,https://pentair.com,https://linkedin.com/company/pentair,Engineering,Central,David Nelson,water treatment tablets,90,Manufactures water treatment products including tablets,,,,,
"American Water Works Company, Inc.",Camden,NJ,-9401,https://amwater.com,https://linkedin.com/company/american-water,Both,Northeast,Raffaele Romano,water treatment tablets,100,Provides water treatment services and products,,,,,
"US Water Services, Inc.",St. Michael,MN,-9161,https://uswaterservices.com,https://linkedin.com/company/us-water-services,Both,Central,David Nelson,water treatment tablets,100,Provides water treatment solutions and products,,,,,
BWT Pharma & Biotech Inc.,Marlborough,MA,-3380,https://bwt-pharma.com,https://linkedin.com/company/bwt-pharma-biotech-inc,Both,Northeast,Raffaele Romano,water treatment tablets,100,Specializes in water treatment for pharmaceutical applications,,,,,
"Kroff Chemical Company, Inc.",Pittsburgh,PA,-10532,https://kroff.com,https://linkedin.com/company/kroff-inc,Both,Northeast,Raffaele Romano,water treatment tablets,100,Offers a variety of water treatment chemicals and services,,,,,
Garratt-Callahan Company,Burlingame,CA,-7157,https://g-c.com,https://linkedin.com/company/garratt-callahan,Both,West Coast,Fernando Delgado,water treatment tablets,100,Provides comprehensive water treatment solutions including tablets,,,,,
"Chem-Aqua, Inc.",Irving,TX,-4027,https://chemaqua.com,https://linkedin.com/company/chem-aqua-inc,Both,Central,David Nelson,water treatment tablets,100,Offers industrial water treatment programs and products,,,,,
Siemens Water Technologies Corp.,Tewksbury,MA,-8702,https://siemens.com,https://linkedin.com/company/siemens-water-technologies-corp,Both,Northeast,Raffaele Romano,water treatment tablets,100,Manufactures water treatment systems and products,,,,,
"Pace Analytical Services, LLC",Minneapolis,MN,-2918,https://pacelabs.com,https://linkedin.com/company/pace-analytical,Scientific,Central,David Nelson,water treatment tablets,90,Provides water testing and treatment solutions,,,,,
Henkel North America,Rocky Hill,CT,-6530,https://henkel-northamerica.com,https://linkedin.com/company/henkel,Both,Northeast,Raffaele Romano,dishwasher tablet manufacturing,100,Develops and manufactures cleaning tablets under the Persil and Purex brands,,,,,
Norwex USA,Coppell,TX,-8814,https://norwex.biz,https://linkedin.com/company/norwex,Scientific,Central,David Nelson,dishwasher tablet manufacturing,90,"Focuses on sustainable cleaning solutions, requiring formulation expertise",,,,,
"The Honest Company, Inc.",Los Angeles,CA,-10567,https://honest.com,https://linkedin.com/company/the-honest-company,Both,West Coast,Fernando Delgado,dishwasher tablet manufacturing,100,Manufactures various household cleaning products in tablet form,,,,,
"Eco Me, Inc.",Gardena,CA,-8733,https://ecome.com,,Both,West Coast,Fernando Delgado,dishwasher tablet manufacturing,95,Produces non-toxic cleaning tablets requiring compression equipment,,,,,
Planet Inc.,Bellingham,WA,-5432,https://planetinc.com,,Both,West Coast,Fernando Delgado,dishwasher tablet manufacturing,95,Manufactures environmentally friendly cleaning tablets,,,,,
Kärcher North America,Denver,CO,-8153,https://karcher.com/us,https://linkedin.com/company/kaercher-north-america,Both,Rocky Mountain,Eric Maughan,concrete cleaner tablets,100,Offers a variety of cleaning solutions including tablets,,,,,
Spartan Chemical Company,Maumee,OH,-6500,https://spartanchemical.com,https://linkedin.com/company/spartan-chemical-company,Both,Central,David Nelson,concrete cleaner tablets,100,Produces cleaning and disinfecting tablets,,,,,
"Hillyard, Inc.",St. Joseph,MO,-2369,https://hillyard.com,https://linkedin.com/company/hillyard,Both,Central,David Nelson,concrete cleaner tablets,100,Develops cleaning solutions and equipment,,,,,
Reckitt Benckiser Group plc,Parsippany,NJ,-3976,https://reckitt.com,https://linkedin.com/company/reckitt,Both,Northeast,Raffaele Romano,rust remover tablets,100,"Produces a range of consumer health and hygiene products, including tablets",,,,,
Oatey Co.,Cleveland,OH,-10652,https://oatey.com,https://linkedin.com/company/oatey-co-,Engineering,Central,David Nelson,rust remover tablets,90,"Produces plumbing products, including cleaning tablets",,,,,
Hain Celestial Group,Lake Success,NY,-6102,https://hain.com,https://linkedin.com/company/hain-celestial,Both,Northeast,Raffaele Romano,rust remover tablets,100,"Produces natural and organic health products, including supplements in tablet form",,,,,
Clorox Pool & Spa,Alpharetta,GA,-9119,https://cloroxpool.com,,Engineering,Southeast,Danny Ambrose,rust remover tablets,85,Specializes in pool maintenance products including tablets,,,,,
Bio-Dex Laboratories,Chandler,AZ,-7934,https://bio-dex.com,https://linkedin.com/company/bio-dex-laboratories,Both,Rocky Mountain,Eric Maughan,rust remover tablets,100,"Produces pool and spa chemicals, including tablets",,,,,
Applied Biochemists,Germantown,WI,-6463,https://appliedbiochemists.com,,Both,Central,David Nelson,rust remover tablets,95,"Manufactures water treatment chemicals, including tablets",,,,,
NutriSport Pharmacal,Farmingdale,NJ,-2889,https://www.nutrisportpharmacal.com,https://linkedin.com/company/nutrisport-pharmacal-inc-,Both,Northeast,Raffaele Romano,nootropic tablet manufacturing,100,Manufactures custom supplements including nootropic tablets,,,,,
"Vitalabs, Inc.",Jonesboro,GA,-1900,https://vitalabs.com,https://linkedin.com/company/vitalabs,Both,Southeast,Danny Ambrose,nootropic tablet manufacturing,100,Offers private label manufacturing for tablets and other supplements,,,,,
Biomerics,Salt Lake City,UT,-3860,https://biomerics.com,https://linkedin.com/company/biomerics,Scientific,Rocky Mountain,Eric Maughan,collagen tablet manufacturing,90,Provides medical device manufacturing and R&D services,,,,,
ABH Pharma Inc.,Edgewood,NY,-5720,https://abhpharma.com,https://linkedin.com/company/abh-pharma,Both,Northeast,Raffaele Romano,energy supplement tablets,100,Contract manufacturer for nutritional supplements including tablets.,,,,,Yes
Makers Nutrition,Hauppauge,NY,-5239,https://makersnutrition.com,https://linkedin.com/company/makers-nutrition,Both,Northeast,Raffaele Romano,energy supplement tablets,100,Provides custom tablet manufacturing and development.,,,,,Yes
Nutracap Labs,Norcross,GA,-2857,https://nutracapusa.com,https://linkedin.com/company/nutracap-labs,Both,Southeast,Danny Ambrose,energy supplement tablets,100,Custom supplement manufacturer with tablet capabilities.,,,,,Yes
Gencor,Anaheim,CA,-10306,https://gencorpacific.com,https://linkedin.com/company/gencor,Both,West Coast,Fernando Delgado,energy supplement tablets,100,Specializes in energy supplements and offers tablet manufacturing.,,,,,Yes
PLT Health Solutions,Morristown,NJ,-2856,https://plthealth.com,https://linkedin.com/company/plt-health-solutions,Both,Northeast,Raffaele Romano,energy supplement tablets,100,Involved in the development and manufacturing of energy supplement tablets.,,,,,Yes
INW Manufacturing,Coppell,TX,-3342,https://inwnutrition.com,https://linkedin.com/company/inw-manufacturing,Both,Central,David Nelson,energy supplement tablets,100,Specializes in the manufacturing and formulation of nutritional tablets.,,,,,Yes
Vesta Nutra,Indianapolis,IN,-10211,https://vestanutra.com,https://linkedin.com/company/vesta-nutra,Both,Central,David Nelson,energy supplement tablets,100,Manufactures tablets and provides formulation services.,,,,,Yes
NutraPak USA,Clifton,NJ,-2972,https://nutrapakusa.com,https://linkedin.com/company/nutrapak-usa,Both,Northeast,Raffaele Romano,energy supplement tablets,100,Offers energy supplement tablet manufacturing and formulation.,,,,,Yes
Reliance Private Label Supplements,Edison,NJ,-10239,https://reliancevitamin.com,https://linkedin.com/company/reliance-private-label-supplements,Both,Northeast,Raffaele Romano,energy supplement tablets,100,Manufactures energy supplement tablets with formulation support.,,,,,Yes
Vega (WhiteWave Foods),Denver,CO,-10567,https://myvega.com,https://linkedin.com/company/vega,Both,Rocky Mountain,Eric Maughan,detox supplement tablets,100,Produces plant-based nutritional products including detox supplements,,,,,Yes
SmartyPants Vitamins,Marina del Rey,CA,-9581,https://smartypantsvitamins.com,https://linkedin.com/company/smartypantsvitamins,Both,West Coast,Fernando Delgado,detox supplement tablets,100,"Offers a range of vitamins and supplements, including detox products",,,,,Yes
Vital Proteins,Chicago,IL,-4293,https://vitalproteins.com,https://linkedin.com/company/vital-proteins,Engineering,Central,David Nelson,beauty supplement tablets,90,Produces beauty collagen tablets and supplements,,,,,Yes
Nature's Plus,Melville,NY,-10944,https://naturesplus.com,https://linkedin.com/company/natures-plus,Both,Northeast,Raffaele Romano,digestive enzyme tablets,100,Offers a range of nutritional supplements including enzymes,,,,,
Solaray,Salt Lake City,UT,-7225,https://solaray.com,https://linkedin.com/company/solaray,Both,Rocky Mountain,Eric Maughan,digestive enzyme tablets,100,Provides a variety of enzyme dietary supplements,,,,,
Bluebonnet Nutrition,Sugar Land,TX,-3852,https://bluebonnetnutrition.com,https://linkedin.com/company/bluebonnet-nutrition-corporation,Both,Central,David Nelson,digestive enzyme tablets,100,Manufactures and distributes enzyme supplements,,,,,
Dr. Mercola,Cape Coral,FL,-4556,https://mercola.com,https://linkedin.com/company/dr.-mercola,Both,Southeast,Danny Ambrose,digestive enzyme tablets,100,Offers enzyme supplements for digestive health,,,,,
Nutricap Labs,Farmingdale,NY,-7447,https://nutricaplabs.com,https://linkedin.com/company/nutricap-labs,Both,Northeast,Raffaele Romano,apple cider vinegar tablets,100,Contract manufacturer specializing in tablets and capsules,,,,,
