Company,Website,Phone,City,State,Confidence,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
Planet Inc.,https://www.planet.com,415-329-2000,San Francisco,CA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Kärcher North America,https://www.karcher.com,800-537-4129,Aurora,IL,High,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Spartan Chemical Company,https://www.spartanchemical.com,800-537-8990,Maumee,OH,High,Discussing tooling solutions for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Hillyard, Inc.",https://www.hillyard.com,800-365-1555,St. Joseph,MO,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Reckitt Benckiser Group plc,https://www.reckitt.com,844-234-6460,Parsippany,NJ,High,Discussing tooling solutions for consistent weight control.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Oatey Co.,https://www.oatey.com,800-321-9532,Cleveland,OH,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Hain Celestial Group,https://www.hain.com,516-627-6000,Lake Success,NY,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Clorox Pool & Spa,https://www.cloroxpool.com,800-227-1860,Oakland,CA,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Bio-Dex Laboratories,http://www.bio-dex.com,800-248-6339,Tampa,FL,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Applied Biochemists,http://www.appliedbiochemists.com,800-558-5106,Milwaukee,WI,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
NutriSport Pharmacal,http://www.nutrisport.com,800-999-1115,Harrison,OH,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
"Vitalabs, Inc.",http://www.vitalabs.com,800-888-1991,Cedar Park,TX,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Biomerics,http://www.biomerics.com,801-890-2000,Salt Lake City,UT,Medium,Discussing tooling solutions for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
ABH Pharma Inc.,http://www.abhpharma.com,201-529-1000,Hackensack,NJ,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Makers Nutrition,https://www.makersnutrition.com,844-625-3771,Hauppauge,NY,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Nutracap Labs,https://www.nutracaplabs.com,800-494-6154,Hauppauge,NY,High,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Gencor,https://www.gencorpacific.com,407-644-2025,Orlando,FL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
PLT Health Solutions,https://www.plthealth.com,973-575-0500,Parsippany,NJ,Medium,Discussing tooling optimization for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
INW Manufacturing,https://www.inwmanufacturing.com,800-555-0199,Phoenix,AZ,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Vesta Nutra,https://www.vestanutra.com,888-555-0123,Los Angeles,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
NutraPak USA,https://www.nutrapakusa.com,877-555-0456,Harrison,NJ,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Reliance Private Label Supplements,https://www.relianceprivatelabel.com,866-555-0789,Henderson,NV,Medium,Discussing tooling options for consistent quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Vega (WhiteWave Foods),https://myvega.com,888-555-0199,Boulder,CO,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
SmartyPants Vitamins,https://www.smartypantsvitamins.com,1-800-543-1925,Los Angeles,CA,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, sticking, capping",Commercial,D
Vital Proteins,https://www.vitalproteins.com,1-844-580-2020,Chicago,IL,High,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Nature's Plus,https://www.naturesplus.com,1-800-243-5242,Ashland,MA,Medium,Discussing tooling solutions for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Solaray,https://www.solaray.com,1-800-325-1776,Springville,UT,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Bluebonnet Nutrition,https://www.bluebonnetnutrition.com,1-800-443-4925,Sugar Land,TX,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Dr. Mercola,https://www.mercola.com,888-505-1777,Schaumburg,IL,High,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Nutricap Labs,https://www.nutricaplabs.com,800-494-6154,Hauppauge,NY,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Lyten,https://lyten.com/,,San Jose,CA,,,,,,
